participant_id	measurementday	weekday	month	year	filename	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-24699	1	Saturday	Feb	2025	24699.bin	left wrist	23.75	23.75	28.167	4.293	12.667	51.639	26.667	6.609	13.167	38.422	19.83	24.307	150.3	177.2	1247.667	76.083	55.583	44.583	8.417	4.25	0.667	1.25	1.5	90.833	86	60	59.5	49.5	26.75
sub-24699	2	Sunday	Feb	2025	24699.bin	left wrist	18.5	24	25.333	7.407	19.5	65.314	25.5	24.553	14.5	55.992	7.794	38.067	167.1	224.042	1128.833	175.75	62.75	33.167	15.333	6.167	3.583	2.25	12.167	97.5	97	70	30.083	20.75	0
sub-24699	3	Monday	Feb	2025	24699.bin	left wrist	24	24	25.5	10.634	6.333	68.839	20.5	23.253	6.667	59.795	14.892	39.891	183.608	241.819	1120.75	127.75	87.417	57.75	17.917	6.333	5	3	14.083	144.667	144	155	83.75	59.083	37.167
sub-24699	4	Tuesday	Feb	2025	24699.bin	left wrist	24	24	27.167	3.194	18.333	143.792	23.333	7.071	12.833	90.135	6.283	49.649	228.521	482.217	1172.25	90.583	60	43.5	19.917	8.833	7.167	3.833	33.917	146	154	135	101.917	95.333	49.417
sub-24699	5	Wednesday	Feb	2025	24699.bin	left wrist	24	24	24.333	3.461	6.167	98.221	20.333	16.969	6.333	71.183	3.619	44.393	203.204	268.306	1105.583	118.833	83.167	67.917	29.083	12.333	4.667	3.75	14.667	175.417	171	175	114	99.5	57.333
sub-24699	6	Thursday	Feb	2025	24699.bin	left wrist	24	24	28	4.014	20.333	54.828	25.333	19.049	14.667	43.646	22.669	32.223	169.5	209.904	1171	118.5	68.083	46.417	18.75	10.083	2.833	1.917	2.417	115.333	99	65	72.917	54.917	31.417
sub-24699	7	Friday	Feb	2025	24699.bin	left wrist	24	24	25.333	4.232	6.5	82.667	20.333	12.839	6.333	56.152	4.423	33.373	163	226.208	1179.583	97.5	87.5	36.167	16.333	8.25	2.583	2.833	9.25	116.25	120	85	66.583	32.333	24.917
sub-24699	8	Saturday	Feb	2025	24699.bin	left wrist	24	24	26.667	3.457	11.333	103.474	25.333	10.903	11.167	66.912	15.298	34.376	185.404	242.508	1187.083	86.667	64.5	52.333	21.25	11.833	4.667	3.083	8.583	133.833	126	105	92.917	72.833	23.833
sub-24699	9	Sunday	Feb	2025	24699.bin	left wrist	24	24	27.333	5.784	11.333	37.009	25	11.222	11.667	32.308	14.368	21.883	128.8	180.9	1276.333	81.5	38	24	12.25	3.333	2.917	1	0.667	63.25	45	35	32.75	26.167	0
sub-24699	10	Monday	Feb	2025	24699.bin	left wrist	24	24	24.667	3.563	6.167	103.994	20.167	9.093	6	69.532	3.764	40.112	198.604	289.9	1159.917	114.75	68.417	37.583	19.5	11.833	6.333	6.25	15.417	126	129	145	66.833	54.167	16.083
