participant_id	measurementday	weekday	month	year	calendar_date	filename	start_time	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-22169	1	Thursday	Aug	2025	2025-08-07	22169.bin	2025-08-07T04:15:00Z	right wrist	23.75	23.75	26.5	10.833	21.333	25.901	22.667	16.387	7.5	21.94	15.796	19.106	77.5	108.402	1313	91.583	22.583	5.5	2.333	1.25	1.417	0.667	1.667	19.333	9	5	1	0	0
sub-22169	2	Friday	Aug	2025	2025-08-08	22169.bin	2025-08-08T04:00:00Z	right wrist	24	24	28.333	3.968	19.5	20.937	27.167	6.819	14.5	19.914	5.51	13.238	61.604	88.6	1359.333	58.5	13.5	3.5	1.917	1.333	0.75	0.083	1.083	13.25	10	0	2.75	0	0
sub-22169	3	Saturday	Aug	2025	2025-08-09	22169.bin	2025-08-09T04:00:00Z	right wrist	24	24	25.167	4.402	14.333	26.396	23.333	5.638	14.333	22.726	4.479	14.866	67.908	100.302	1347.417	62.417	16.5	5.833	2.25	1.667	1.25	0.5	2.167	20.333	17	10	4.667	0	0
sub-22169	4	Sunday	Aug	2025	2025-08-10	22169.bin	2025-08-10T04:00:00Z	right wrist	24	24	27.667	5.185	19.5	63.244	26.833	8.56	13.833	42.681	7.264	23.75	99.404	160.8	1282.667	97.667	26.5	10	6	4	2.667	2.167	8.333	42.833	42	40	4.583	0	0
sub-22169	5	Monday	Aug	2025	2025-08-11	22169.bin	2025-08-11T04:00:00Z	right wrist	24	24	33.167	4.809	21.833	36.491	28.167	5.54	17.333	30.22	14.808	18.1	78.904	116.902	1328	72.083	19.333	6.833	4	2.5	1.583	1.333	4.333	26	26	30	5.333	0	0
sub-22169	6	Tuesday	Aug	2025	2025-08-12	22169.bin	2025-08-12T04:00:00Z	right wrist	24	24	26.833	3.21	19.5	44.92	27	9.288	14.5	33.079	4.816	19.779	86.504	119.902	1282.667	113.5	24.667	8.917	3.833	2.083	1.5	1.083	1.75	28.583	19	15	5.167	0	0
sub-22169	7	Wednesday	Aug	2025	2025-08-13	22169.bin	2025-08-13T04:00:00Z	right wrist	24	24	30.833	4.643	11.833	26.535	25.833	7.274	13.833	25.128	8.591	16.517	73	100.612	1328.667	81.083	15.667	5.917	3.917	1.917	0.917	0.25	1.667	20.333	15	10	5.5	0	0
sub-22169	8	Thursday	Aug	2025	2025-08-14	22169.bin	2025-08-14T04:00:00Z	right wrist	24	24	30.333	3.759	13.167	21.686	25.333	7.773	13.167	21.247	13.157	14.64	65.6	91.102	1350.5	65.167	12.583	3.833	3.917	1.917	1.25	0.25	0.583	16.25	11	5	6.75	0	0
sub-22169	9	Friday	Aug	2025	2025-08-15	22169.bin	2025-08-15T04:00:00Z	right wrist	24	24	32.167	4.243	13.833	25.976	26.667	7.543	13.833	23.36	9.582	15.379	65.204	91.6	1350.083	65	12.167	4.917	2.667	2.083	0.833	0.75	1.5	16	15	10	6.25	0	0
sub-22169	10	Saturday	Aug	2025	2025-08-16	22169.bin	2025-08-16T04:00:00Z	right wrist	24	24	26.667	3.004	19	22.739	26.833	7.48	14	22.132	7.262	14.188	62.904	88.5	1351.583	65.5	12.25	4.5	3.5	1.417	0.583	0.333	0.333	14.25	10	0	7.917	0	0
sub-22169	11	Sunday	Aug	2025	2025-08-17	22169.bin	2025-08-17T04:00:00Z	right wrist	24	24	26	5.891	20.667	32.462	27	8.206	13.833	28.739	9.028	17.847	77.1	99.902	1299.5	110.5	17.667	5.25	4.083	1.5	0.5	0.083	0.917	18.167	10	0	6.583	0	0
sub-22169	12	Monday	Aug	2025	2025-08-18	22169.bin	2025-08-18T04:00:00Z	right wrist	24	24	31.833	2.876	17	24.176	26.167	5.793	13.5	21.541	4.444	12.575	57.2	80.3	1366.417	54.083	10.167	4.75	1.667	0.833	0.833	0.333	0.917	12.667	9	5	5.667	0	0
sub-22169	13	Tuesday	Aug	2025	2025-08-19	22169.bin	2025-08-19T04:00:00Z	right wrist	24	24	31.167	5.6	13.5	24.575	26	7.251	13.5	22.116	6.8	15.121	63.804	92	1354.333	60.583	12.833	5.75	3.75	1.5	0.083	0.25	0.917	15.583	14	10	8	0	0
sub-22169	14	Wednesday	Aug	2025	2025-08-20	22169.bin	2025-08-20T04:00:00Z	right wrist	24	24	26.167	6.855	15	51.742	21.5	11.179	9.833	38.501	8.429	25.131	88.908	133.902	1286.833	104.333	23.75	8.583	4.75	2.083	2.333	1.25	6.083	33.417	36	25	3	0	0
sub-22169	15	Thursday	Aug	2025	2025-08-21	22169.bin	2025-08-21T04:00:00Z	right wrist	24	24	32	10.285	13	21.858	27.167	14.651	13	20.227	14.022	17.076	72.1	93.502	1330.5	84	16	4.25	1.667	1.5	0.833	0.667	0.583	14.5	9	0	0	0	0
