participant_id	measurementday	weekday	month	year	calendar_date	filename	start_time	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-23698	1	Thursday	Jul	2025	2025-07-17	23698.bin	2025-07-17T04:15:00Z	right wrist	23.75	23.75	24.333	5.616	14	84.002	23	6.763	9.167	65.575	6.288	36.084	163.8	232.506	1125.833	174.083	70.167	27.583	16.583	10	7.833	3.667	4.25	94.75	78	70	49.5	38.417	30.25
sub-23698	2	Friday	Jul	2025	2025-07-18	23698.bin	2025-07-18T04:00:00Z	right wrist	24	24	24.5	3.503	10.5	109.966	20.833	10.118	7.667	79.512	3.814	42.711	184.004	253.3	1069.167	193.083	88.417	38.917	19.667	9.917	6.333	3.75	10.75	122.333	108	100	57.833	30.417	29.167
sub-23698	3	Saturday	Jul	2025	2025-07-19	23698.bin	2025-07-19T04:00:00Z	right wrist	24	24	25.5	3.587	18.167	54.465	25	4.166	13.833	42.351	3.937	23.012	118.5	153.102	1236.333	114.667	57.5	18.083	6.083	3.583	1.917	0.75	1.083	52.167	38	30	24.833	9.25	11.667
sub-23698	4	Sunday	Jul	2025	2025-07-20	23698.bin	2025-07-20T04:00:00Z	right wrist	23	24	28.833	3.965	0	59.939	28.667	17.182	17.167	43.094	44.598	31.475	135.713	168.906	1149.417	158.25	85.833	27	10.333	3.417	2.5	0.667	2.583	77.167	72	60	33	15.833	0
sub-23698	5	Monday	Jul	2025	2025-07-21	23698.bin	2025-07-21T04:00:00Z	right wrist	24	24	26.333	5.258	11.833	57.276	24	13.615	7.667	44.174	6.063	28.824	135	170.504	1180.75	146.333	69.083	24.083	9.5	4.25	3.083	1.583	1.333	74.5	48	25	32.417	23	10.417
sub-23698	6	Tuesday	Jul	2025	2025-07-22	23698.bin	2025-07-22T04:00:00Z	right wrist	24	24	25.333	6.022	9.833	80.674	20.833	13.861	6.667	67.323	6.052	38.679	163.213	219.204	1110.75	165.75	88.25	36.583	16.25	8.75	4.75	1.917	7	110.333	105	90	51.083	10.667	16.5
sub-23698	7	Wednesday	Jul	2025	2025-07-23	23698.bin	2025-07-23T04:00:00Z	right wrist	24	24	27.667	4.692	12.833	61.608	23.5	12.526	8.333	52.961	17.257	30.049	138.104	165.802	1143.5	164.083	87.25	30.333	7.667	3.25	1.583	0.667	1.667	81.167	58	25	28	28	29.25
sub-23698	8	Thursday	Jul	2025	2025-07-24	23698.bin	2025-07-24T04:00:00Z	right wrist	23	24	23.333	5.206	12	60.559	22.667	6.139	8.5	51.829	6.172	27.03	135.1	183.104	1216.833	117.5	57.583	24.417	10.667	5.083	3	0.917	4	70.083	66	50	31.583	10	13
sub-23698	9	Friday	Jul	2025	2025-07-25	23698.bin	2025-07-25T04:00:00Z	right wrist	24	24	26.5	4.089	19	76.558	24	6.698	14	46.017	5.006	25.163	146.704	188.102	1234.25	81.917	67.167	32.25	15.5	5	1.083	1	1.833	89.083	84	75	55.583	46.917	44.833
sub-23698	10	Saturday	Jul	2025	2025-07-26	23698.bin	2025-07-26T04:00:00Z	right wrist	23.75	24	25.5	3.938	15.167	46.271	24.667	5.599	13.333	40.118	4.701	23.898	99.7	131.6	1234.25	146.083	37.5	10.25	4.083	2.833	1	0.833	3.167	34.583	18	10	1.833	0	0
sub-23698	11	Sunday	Jul	2025	2025-07-27	23698.bin	2025-07-27T04:00:00Z	right wrist	24	24	22.333	3.94	16.667	62.705	22.167	4.65	11	55.424	4.78	28.432	140.904	187.802	1184.167	133.5	69.75	27.917	14.5	5.083	2.333	0.833	1.917	79.75	64	65	42.5	24.083	0
sub-23698	12	Monday	Jul	2025	2025-07-28	23698.bin	2025-07-28T04:00:00Z	right wrist	24	24	21.5	5.134	11.667	38.528	21.667	5.922	7.333	33.486	6.246	20.562	106.6	126.702	1241.083	126.167	56	10.5	4	1.333	0.5	0.083	0.333	31.167	11	5	5.25	6.667	0
sub-23698	13	Tuesday	Jul	2025	2025-07-29	23698.bin	2025-07-29T04:00:00Z	right wrist	24	24	25.5	2.821	8.667	62.007	22.5	6.231	9	51.818	2.958	28.386	147.7	195.102	1195.833	118.583	67.5	30.083	15.667	6.583	3.083	1.417	1.25	85.667	75	30	41.667	28.417	17.583
sub-23698	14	Wednesday	Jul	2025	2025-07-30	23698.bin	2025-07-30T04:00:00Z	right wrist	24	24	24	5.946	14.667	83.649	23.667	8.953	9.667	67.07	7.529	37.595	163.304	217.502	1094.583	197.25	77.25	33.25	17.917	9.083	4.25	1.917	4.5	97.5	79	60	44.75	26.25	15.083
sub-23698	15	Thursday	Jul	2025	2025-07-31	23698.bin	2025-07-31T04:00:00Z	right wrist	23.75	24	26.667	3.863	19.5	52.133	22.667	16.56	15.5	46.017	9.48	33.224	142.6	182.902	1124.583	181	81.75	29.917	10.083	4.917	3.667	1.75	2.333	81.583	60	40	35.083	25.333	22.75
sub-23698	16	Friday	Aug	2025	2025-08-01	23698.bin	2025-08-01T04:00:00Z	right wrist	24	24	25.833	27.742	12.5	92.616	20.833	41.302	6.833	87.294	31.615	63.127	215.717	298	859	313.583	142.583	54.833	25.583	14.5	8.833	6.583	14.5	179.167	170	150	70.583	37.5	26.417
sub-23698	17	Saturday	Aug	2025	2025-08-02	23698.bin	2025-08-02T04:00:00Z	right wrist	23.5	24	24	3.288	18	74.73	24	5.727	14	56.615	3.384	28.246	147.308	199.1	1201.833	110.833	69.333	28.25	13.5	5.917	3.083	1.667	5.583	86	83	70	36.417	5.083	0
sub-23698	18	Sunday	Aug	2025	2025-08-03	23698.bin	2025-08-03T04:00:00Z	right wrist	24	24	29.167	3.872	20.667	24.838	26	5.724	15.667	18.683	9.676	11.042	62.8	98.004	1363.667	47.167	17.917	6.167	2.167	1.083	0.5	0.333	1	17.667	9	5	2.083	0	0
sub-23698	19	Monday	Aug	2025	2025-08-04	23698.bin	2025-08-04T04:00:00Z	right wrist	24	24	19.667	4.248	13.667	44.006	17.667	9.83	9	29.647	15.849	17.502	104.404	124.602	1286.417	87	57.917	6.833	1.333	0.25	0.083	0	0.167	29.5	13	10	6.667	0	0
sub-23698	20	Tuesday	Aug	2025	2025-08-05	23698.bin	2025-08-05T04:00:00Z	right wrist	24	24	23.333	2.607	15.333	34.194	21.5	4.193	10.333	27.003	4.988	14.915	80.3	115.204	1325.333	71.833	26.083	7.917	3.417	0.917	0.917	0.667	2.917	25.833	22	20	4.667	0	0
sub-23698	21	Wednesday	Aug	2025	2025-08-06	23698.bin	2025-08-06T04:00:00Z	right wrist	21.75	23.75	28.167	5.859	19	29.597	24	8.696	14	25.194	10.807	17.633	81.3	109	1310.417	91.75	25.5	7.083	2.25	0.583	0.333	0.417	1.667	20.333	7	5	0	0	0
