participant_id	measurementday	weekday	month	year	calendar_date	filename	start_time	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-21623	1	Tuesday	Aug	2025	2025-08-05	21623.bin	2025-08-05T04:15:00Z	left wrist	20.75	23.75	26	3.433	14	47.939	23.333	7.214	12.333	42.601	4.081	25.911	103.404	139.308	1236.75	139.083	38.417	13.083	5.583	3.167	1.083	1.083	1.75	40.25	22	0	1.917	0	0
sub-21623	2	Wednesday	Aug	2025	2025-08-06	21623.bin	2025-08-06T04:00:00Z	left wrist	24	24	27.167	5.915	9.167	69.082	23.333	8.431	9.167	56.792	6.491	33.648	141	197.6	1171.5	155.75	60.333	23.25	11.5	5.417	2.833	2.583	6.833	77	57	40	17.083	0	0
sub-21623	3	Thursday	Aug	2025	2025-08-07	21623.bin	2025-08-07T04:00:00Z	left wrist	24	24	27.667	4.026	16.5	74.857	22.833	6.578	11.833	65.205	4.726	36.622	159.3	223.604	1130.083	175.833	68.25	27.75	13.083	9.25	6.417	2.667	6.667	94.417	82	50	32.083	0	0
sub-21623	4	Friday	Aug	2025	2025-08-08	21623.bin	2025-08-08T04:00:00Z	left wrist	24	24	26	3.687	16.167	77.241	22	8.537	11.167	61.051	4.21	35.773	161.1	243.302	1162.917	148.667	61.583	23.333	14.75	9.25	6	3.833	9.667	90.5	76	60	36.583	31.583	27.5
sub-21623	5	Saturday	Aug	2025	2025-08-09	21623.bin	2025-08-09T04:00:00Z	left wrist	24	24	25	3.755	15.5	56.314	24.333	5.266	12.5	44.96	3.755	23.815	106.108	150.1	1257.333	116.5	36	14.667	6	3.667	2.083	1.167	2.583	43.917	31	5	4.083	0	0
sub-21623	6	Sunday	Aug	2025	2025-08-10	21623.bin	2025-08-10T04:00:00Z	left wrist	24	24	24.167	4.213	12.333	48.473	22.333	9.2	8.167	45.019	4.47	28.476	112.7	143.502	1185.583	177	50.833	14.333	5.25	2.917	1.25	0.917	1.917	45.583	28	5	4.25	0	0
sub-21623	7	Monday	Aug	2025	2025-08-11	21623.bin	2025-08-11T04:00:00Z	left wrist	23.5	24	24	3.361	7.167	84.513	21.167	12.029	7.167	75.265	3.585	41.415	169.2	280.4	1125.75	177.25	64	26.25	11.5	7.917	5.333	4.417	17.583	98.75	98	75	17.917	0	0
sub-21623	8	Tuesday	Aug	2025	2025-08-12	21623.bin	2025-08-12T04:00:00Z	left wrist	23.5	24	25	3.741	13	120.12	21	11.327	7	111.352	3.741	58.201	275.508	528.806	1056.917	186.25	79.917	32.667	16.917	13.083	10.25	5.667	38.333	148.583	177	180	49.5	0	0
sub-21623	9	Wednesday	Aug	2025	2025-08-13	21623.bin	2025-08-13T04:00:00Z	left wrist	24	24	23	4.922	12.667	130.778	20.833	11.651	7.167	113.587	6.06	58.879	250.012	648.131	1087.417	190.667	67.667	24.667	9.5	8	5.5	3.167	43.417	119.25	156	195	26.667	0	0
sub-21623	10	Thursday	Aug	2025	2025-08-14	21623.bin	2025-08-14T04:00:00Z	left wrist	23.25	24	25.833	4.411	9	107.275	21	9.52	7.167	92.377	4.702	48.589	236.604	418.515	1093.417	182.75	65.333	26.167	15.833	13.917	7.333	3.833	31.417	124	132	135	40.167	0	0
sub-21623	11	Friday	Aug	2025	2025-08-15	21623.bin	2025-08-15T04:00:00Z	left wrist	23.75	24	25.667	4.776	7.167	118.643	20.833	9.423	6.833	77.746	5.12	43.446	167.408	360.5	1164.583	153.083	53.667	20.167	8.167	5.833	3.917	2.75	27.833	87.417	102	120	22.083	0	0
sub-21623	12	Saturday	Aug	2025	2025-08-16	21623.bin	2025-08-16T04:00:00Z	left wrist	24	24	26.5	4.772	12.333	62.68	25.667	11.647	13.667	46.895	8.232	28.413	121.104	175.906	1210.167	142.917	48.083	16.917	8.917	5	3.083	1.5	3.417	56.167	46	25	8.5	0	0
