participant_id	measurementday	weekday	month	year	calendar_date	filename	start_time	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-60660	1	Thursday	Oct	2025	2025-10-02	60660.bin	2025-10-02T04:00:00Z	left wrist	24	24	26	12.178	14.5	47.846	21	15.44	9.667	43.809	19.606	28.838	159.7	193.9	1197.917	105.083	67.833	43.167	15.5	6.667	1.5	0.917	1.417	101.25	85	80	61.583	55.417	22.083
sub-60660	2	Friday	Oct	2025	2025-10-03	60660.bin	2025-10-03T04:00:00Z	left wrist	24	24	26.167	3.71	7.333	42.318	21.333	11.685	7.5	40.802	4.812	26.52	146.004	188.406	1223.667	99.667	60.833	29.833	13.417	7.5	2.917	0.917	1.25	85.75	74	70	53.25	53.167	30.25
sub-60660	3	Saturday	Oct	2025	2025-10-04	60660.bin	2025-10-04T04:00:00Z	left wrist	24	24	27.667	5.162	10.5	69.599	22.333	6.48	10.167	54.621	5.727	29.202	155.412	187.302	1195.833	116.083	62.667	42.333	11.167	4.667	3.25	1.5	2.5	94.75	73	55	51.583	29.667	11.5
sub-60660	4	Sunday	Oct	2025	2025-10-05	60660.bin	2025-10-05T04:00:00Z	left wrist	23.75	24	24	5.926	10.667	56.692	24	6.581	13.833	53.991	7.165	31.564	162.708	204.904	1167.917	143	57.833	38.583	16.583	7.833	3.583	2.083	2.583	95.917	74	50	47.917	44.25	14
sub-60660	5	Monday	Oct	2025	2025-10-06	60660.bin	2025-10-06T04:00:00Z	left wrist	24	24	24.5	2.748	15.333	78.834	24.167	3.999	10.667	60.424	3.199	29.733	169.8	215.7	1202.25	103.75	54.833	41.417	20.25	9.083	4.167	1.5	2.75	104.917	97	75	61.417	46	30.167
sub-60660	6	Tuesday	Oct	2025	2025-10-07	60660.bin	2025-10-07T04:00:00Z	left wrist	24	24	25.667	4.096	14.667	76.713	23	16.976	10.167	60.065	10.018	39.177	176.713	221.106	1094.25	139.167	105.5	60.417	23.667	9.667	3.667	2.083	1.583	150.583	133	115	102.083	89.167	70.083
sub-60660	7	Wednesday	Oct	2025	2025-10-08	60660.bin	2025-10-08T04:00:00Z	left wrist	15.75	24	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-60660	8	Thursday	Oct	2025	2025-10-09	60660.bin	2025-10-09T04:00:00Z	left wrist	22.5	24	24	3.798	15.667	44.094	19.833	10.824	10	37.149	11.338	26.492	149	212.602	1258.583	76.25	46	24.667	16.833	4.833	2.583	1.417	8.833	78.75	72	90	47.5	33.667	17.333
sub-60660	9	Friday	Oct	2025	2025-10-10	60660.bin	2025-10-10T04:00:00Z	left wrist	9.5	24	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-60660	10	Saturday	Oct	2025	2025-10-11	60660.bin	2025-10-11T04:00:00Z	left wrist	23	24	26.333	3.698	15.667	55.846	23.667	5.488	12.833	39.408	4.77	23.457	136.9	207.704	1293.25	58.167	34.25	21.333	11.333	7.333	3	2.25	9.083	67.417	63	60	40.75	21.167	10.417
