participant_id	window_number	weekday	month	year	filename	start_end_window	sleeponset	sleeponset_ts	wakeup	wakeup_ts	night_number	daysleeper	cleaningcode	guider	sleeplog_used	acc_available	nonwear_perc_day	nonwear_perc_spt	nonwear_perc_day_spt	dur_spt_sleep_min	dur_spt_wake_in_min	dur_spt_wake_lig_min	dur_spt_wake_mod_min	dur_spt_wake_vig_min	dur_day_in_unbt_min	dur_day_lig_unbt_min	dur_day_mod_unbt_min	dur_day_vig_unbt_min	dur_day_mvpa_bts_10_min	dur_day_mvpa_bts_5_10_min	dur_day_mvpa_bts_1_5_min	dur_day_in_bts_30_min	dur_day_in_bts_20_30_min	dur_day_in_bts_10_20_min	dur_day_lig_bts_10_min	dur_day_lig_bts_5_10_min	dur_day_lig_bts_1_5_min	dur_day_total_in_min	dur_day_total_lig_min	dur_day_total_mod_min	dur_day_total_vig_min	dur_day_min	dur_spt_min	dur_day_spt_min	n_atleast5minwakenight	sleep_efficiency_after_onset	tail_expansion_minutes	acc_spt_sleep_mg	acc_spt_wake_in_mg	acc_spt_wake_lig_mg	acc_spt_wake_mod_mg	acc_spt_wake_vig_mg	acc_day_in_unbt_mg	acc_day_lig_unbt_mg	acc_day_mod_unbt_mg	acc_day_vig_unbt_mg	acc_day_mvpa_bts_10_mg	acc_day_mvpa_bts_5_10_mg	acc_day_mvpa_bts_1_5_mg	acc_day_in_bts_30_mg	acc_day_in_bts_20_30_mg	acc_day_in_bts_10_20_mg	acc_day_lig_bts_10_mg	acc_day_lig_bts_5_10_mg	acc_day_lig_bts_1_5_mg	acc_day_total_in_mg	acc_day_total_lig_mg	acc_day_total_mod_mg	acc_day_total_vig_mg	acc_day_mg	acc_spt_mg	acc_spt_mg_median	acc_spt_mg_stdev	acc_day_spt_mg	quantile_mostactive60min_mg	quantile_mostactive30min_mg	nbouts_day_mvpa_bts_10	nbouts_day_mvpa_bts_5_10	nbouts_day_mvpa_bts_1_5	nbouts_day_in_bts_30	nbouts_day_in_bts_20_30	nbouts_day_in_bts_10_20	nbouts_day_lig_bts_10	nbouts_day_lig_bts_5_10	nbouts_day_lig_bts_1_5	nblocks_spt_sleep	nblocks_spt_wake_in	nblocks_spt_wake_lig	nblocks_spt_wake_mod	nblocks_spt_wake_vig	nblocks_day_in_unbt	nblocks_day_lig_unbt	nblocks_day_mod_unbt	nblocks_day_vig_unbt	nblocks_day_mvpa_bts_10	nblocks_day_mvpa_bts_5_10	nblocks_day_mvpa_bts_1_5	nblocks_day_in_bts_30	nblocks_day_in_bts_20_30	nblocks_day_in_bts_10_20	nblocks_day_lig_bts_10	nblocks_day_lig_bts_5_10	nblocks_day_lig_bts_1_5	nblocks_day_total_in	nblocks_day_total_lig	nblocks_day_total_mod	nblocks_day_total_vig	boutcriter_in	boutcriter_lig	boutcriter_mvpa	boutdur_in	boutdur_lig	boutdur_mvpa	ggi_rversion	daytype
sub-24663	1	Wednesday	Dec	2024	24663.bin	00:00:00-23:59:55	23.685	23:41:05	31.497	07:29:50	2	0	1	HDCZA	0	1	0	0	0	389.583	50.333	1.583	1	0	147.083	66.333	36.083	0.167	79.167	21.75	26.833	442.5	72.25	94.75	0	0	10.583	721.25	118.833	156.167	1.25	997.5	442.5	1440	2	0.88	0	4.044	5.822	63.468	155.017	n/a	16.9	63.73	156.871	413.25	209.666	181.494	172.687	15.96	15.604	15.489	n/a	n/a	69.042	12.64	63.523	196.953	469.727	48.131	4.8	3.6	10.073	34.815	220.504	258.402	4	3	19	12	3	10	0	0	9	20	27	15	7	0	343	472	203	2	4	3	19	12	3	10	0	0	9	717	876	382	11	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WD
sub-24663	2	Thursday	Dec	2024	24663.bin	00:00:00-23:59:55	n/a	n/a	31.514	07:30:50	3	0	1	HDCZA	0	1	0	0	0	372.917	76.167	1.417	0.333	0	228.417	136.417	76.833	1	100.667	0	49.583	240.833	24	91.25	0	0	40.167	566	204.417	212.167	6.583	989.167	450.833	1440	2	0.827	0	3.314	4.968	52.694	147.675	n/a	17.647	65.929	154.016	473.4	210.417	n/a	174.098	14.709	17.509	16.403	n/a	n/a	70.836	12.498	66.692	169.5	1030.084	64.145	3.856	3	6.313	45.27	200.304	238.006	7	0	44	6	1	8	0	0	35	24	33	15	3	0	617	865	446	9	7	0	44	6	1	8	0	0	35	859	1234	694	24	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WD
sub-24663	3	Friday	Dec	2024	24663.bin	00:00:00-23:59:55	24.656	00:39:20	31.79	07:47:25	4	0	1	HDCZA	0	1	0	0	0	380.167	46.333	1.25	0.333	0	324.833	147.333	68.583	0.917	28.167	20.75	46.5	208.583	47	81.75	0	5.25	32.25	639.5	209.667	159.833	2.917	1011.917	428.083	1440	1	0.888	0	3.274	4.904	66.353	126.05	n/a	16.121	64.346	149.696	571.327	174.081	160.857	188.484	15.184	15.21	20.139	n/a	72.781	68.939	13.716	64.616	166.58	583.791	50.05	3.73	2.4	6.522	36.28	183.304	213.9	1	6	33	6	2	7	0	1	34	17	23	12	4	0	743	972	436	10	1	6	33	6	2	7	0	1	34	965	1310	626	23	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WD
sub-24663	4	Saturday	Dec	2024	24663.bin	00:00:00-23:59:55	23.228	23:13:40	32.306	08:18:20	5	0	1	HDCZA	0	1	0	0	0	211.583	83.083	1.833	0.25	0	30.833	39.833	30.5	0.333	50.333	6.5	23.5	877.917	74.333	0	0	0	9.167	922.5	109.583	107.833	3.333	1143.25	296.75	1440	3	0.713	0	5.811	4.955	59.477	126.667	n/a	15.996	69.073	151.582	479.575	177.239	168.337	172.421	12.011	13.236	n/a	n/a	n/a	75.919	7.8	65.982	167.7	542.758	30.019	6.005	5.7	7.41	25.07	148.704	195.802	4	1	20	20	3	0	0	0	9	10	21	16	2	0	107	243	155	3	4	1	20	20	3	0	0	0	9	574	785	390	29	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WE
sub-24663	5	Sunday	Dec	2024	24663.bin	00:00:00-23:59:55	n/a	n/a	33.868	09:52:05	6	0	1	HDCZA	0	1	0	2.533	1.042	521.083	67.75	2.25	1	0	217.083	99.167	66.167	0.5	11.75	24.083	43.417	204.083	71.917	86.167	0	0	23.583	552.417	149.5	144.417	1.583	847.917	592.083	1440	3	0.88	0	3.443	5.772	68.011	158.383	n/a	12.917	67.654	147.261	522.933	153.106	160.034	159.326	14.239	15.467	14.903	n/a	n/a	69.993	9.629	67.366	158.223	506.116	46.045	4.217	2.1	10.277	28.846	159.308	194.804	1	6	29	5	5	9	0	0	22	19	31	23	8	0	463	700	400	6	1	6	29	5	5	9	0	0	22	700	1011	607	15	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WE
sub-24663	6	Monday	Dec	2024	24663.bin	00:00:00-23:59:55	23.508	23:30:30	31.972	07:58:20	7	0	1	HDCZA	0	1	0	0	0	405.583	67.417	1.417	1	0	209.833	92.25	40.75	2	0	14.75	51.5	402.25	102.667	31.75	0	0	16.833	709.583	142.667	109.083	3.25	964.583	475.417	1440	4	0.853	0	3.995	5.646	57.771	154.325	n/a	16.157	64.005	154.804	665.338	n/a	191.82	168.505	16.998	14.969	12.801	n/a	n/a	67.285	12.881	63.917	166.103	608.1	39.763	4.706	4.2	8.709	28.189	150.404	194.5	0	2	36	8	4	2	0	0	17	20	30	14	8	0	465	623	260	16	0	2	36	8	4	2	0	0	17	746	967	425	27	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WD
sub-24663	7	Tuesday	Dec	2024	24663.bin	00:00:00-23:59:55	n/a	n/a	32.279	08:16:45	8	0	1	HDCZA	0	1	0	0	0	429.5	65.333	1.333	0.583	0	253.583	118.333	44.75	1	47.917	0	33.75	205	93.417	118.333	0	5.333	21.833	640.5	175.917	122.417	4.417	943.25	496.75	1440	2	0.865	0	3.83	3.494	67.75	152.371	n/a	16.377	62.841	154.664	558.333	222.345	n/a	176.967	13.828	16.703	16.523	n/a	62.234	66.285	12.276	62.711	183.542	557.338	46.461	4.132	2.8	7.785	31.859	184.117	238.3	1	0	26	5	5	13	0	2	22	20	24	13	6	0	651	802	317	10	1	0	26	5	5	13	0	2	22	964	1178	517	39	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WD
sub-24663	8	Wednesday	Dec	2024	24663.bin	00:00:00-23:59:55	23.829	23:49:45	31.91	07:54:35	9	0	1	HDCZA	0	1	0	0	0	396.167	64.083	1.583	0.583	0	169.333	87.583	52.333	1.833	42.167	0	29	357.833	50.167	164.75	0	5.5	17.083	700.083	150.167	121.333	6	977.583	462.417	1440	5	0.857	0	3.34	4.564	64.353	150.971	n/a	12.723	66.909	157.649	589.514	226.221	n/a	183.535	15.274	12.709	13.417	n/a	69.768	71.37	9.713	65.617	178.996	625.338	43.089	3.905	1.9	7.997	30.506	174.008	229.7	1	0	28	9	4	14	0	1	17	13	26	12	7	0	387	570	319	16	1	0	28	9	4	14	0	1	17	731	961	521	48	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WD
sub-24663	9	Thursday	Dec	2024	24663.bin	00:00:00-23:59:55	n/a	n/a	31.14	07:08:25	10	0	1	HDCZA	0	1	0	3.501	1.042	365.5	61.5	1.25	0.167	0	215.75	94.333	56.833	1.167	0	0	26.333	430.5	73.917	93.5	0	0	19.25	775.5	143.583	89.833	2.667	1011.583	428.417	1440	1	0.853	0	2.624	5.864	61.207	114.45	n/a	13.331	66.485	156.582	506.593	n/a	n/a	183.597	10.314	14.705	20.648	n/a	n/a	64.513	9.176	65.055	159.141	532.319	31.804	3.304	2.3	6.179	23.325	128.008	170.506	0	0	22	13	3	8	0	0	17	21	24	11	2	0	452	608	339	14	0	0	22	13	3	8	0	0	17	763	932	479	28	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WD
sub-24663	10	Friday	Dec	2024	24663.bin	00:00:00-23:59:55	24.164	00:09:50	32.982	08:58:55	11	0	1	HDCZA	0	1	0	0	0	478.083	49.5	1.167	0.333	0	184.583	94.5	45.667	2.25	66	29.333	17.083	324.75	25.75	100.917	0	0	20.083	601.083	154.083	138.833	16.917	910.917	529.083	1440	1	0.904	0	2.824	5.171	56.443	185.825	n/a	15.935	63.981	159.026	597.463	232.429	261.738	210.586	15.046	14.774	17.998	n/a	n/a	70.418	11.011	64.362	186.367	608.665	57.861	3.277	1.5	7.263	37.806	212.625	286.71	5	7	14	8	1	8	0	0	18	20	23	11	2	0	512	643	306	21	5	7	13	8	1	8	0	0	18	844	1033	609	106	0.9	0.8	0.8	30_20_10	10_5_1	10_5_1	3.2.0	WD
