participant_id	measurementday	weekday	month	year	filename	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-24663	1	Wednesday	Dec	2024	24663.bin	right wrist	24	24	25.667	4.342	16.667	77.59	21.667	9.521	13	54.03	4.397	34.815	220.504	258.402	1193.083	88.25	45.5	34.833	42.667	27.083	6.333	1	1.25	134.167	128	110	97.583	79.833	72.333
sub-24663	2	Thursday	Dec	2024	24663.bin	right wrist	24	24	24.667	3.23	16.167	107.337	21.833	11.574	13.667	76.004	3.425	45.27	200.304	238.006	1061.25	159.667	95.583	62.833	35.75	12.5	3.75	2.083	6.583	166.667	138	125	94.417	79.583	53.583
sub-24663	3	Friday	Dec	2024	24663.bin	right wrist	24	24	25.5	3.052	7.833	65.163	21.833	12.703	8.167	55.405	3.391	36.28	183.304	213.9	1119.25	157.5	71.417	49.917	29.417	6.917	1.833	0.833	2.917	119.833	99	65	60.75	31.5	26.167
sub-24663	4	Saturday	Dec	2024	24663.bin	right wrist	24	24	27.667	6.571	22.833	69.145	27.833	10.71	18.167	43.888	37.39	25.07	148.704	195.802	1242.917	85.583	52.417	30.417	15.25	5.25	2.75	2.083	3.333	81.417	72	65	44	31.667	15.417
sub-24663	5	Sunday	Dec	2024	24663.bin	right wrist	23.75	24	27	3.327	17.667	61.852	23.5	4.311	12.5	44.886	3.43	28.846	159.308	194.804	1173	119.667	78	42.417	18.167	3.917	2.167	1.083	1.583	101.917	84	50	35.5	6.333	0
sub-24663	6	Monday	Dec	2024	24663.bin	right wrist	24	24	26.167	4.168	7.833	49.529	22	9.756	7.833	45.521	4.508	28.189	150.404	194.5	1222.083	104.5	53.083	33.667	13.083	7.25	2.5	0.583	3.25	85.5	68	25	42.083	14.5	0
sub-24663	7	Tuesday	Dec	2024	24663.bin	right wrist	24	24	24	3.411	9.167	72.791	23.167	7.02	9.167	58.131	3.6	31.859	184.117	238.3	1186.25	126.167	49.5	26.083	28.583	12.083	4.25	2.667	4.417	99.167	86	55	51.833	42.5	45.5
sub-24663	8	Wednesday	Dec	2024	24663.bin	right wrist	24	24	24.5	3.378	8.333	66.01	21.833	7.736	8	51.809	3.615	30.506	174.008	229.7	1196.583	115.417	51.583	30.083	22.833	10.25	4.25	3	6	96.833	88	60	42.583	39.833	35.25
sub-24663	9	Thursday	Dec	2024	24663.bin	right wrist	23.75	24	25.333	2.834	7.167	42.089	20.833	5.638	10.5	36.951	3.389	23.325	128.008	170.506	1236	111.167	50.833	22.917	9.25	4.25	1.333	1.583	2.667	62.5	40	5	15.333	0	0
sub-24663	10	Friday	Dec	2024	24663.bin	right wrist	24	24	24.5	2.688	11.167	99.55	23.333	6.466	9.333	68.707	2.745	37.806	212.625	286.71	1169	114.833	52.917	34.167	29	12.25	6.917	4	16.917	125.583	123	110	80	60.667	52.667
sub-24663	11	Saturday	Dec	2024	24663.bin	right wrist	23.75	24	26.167	3.425	14.5	75.868	24.333	7.636	14.333	53.299	7.98	29.995	185.404	249.806	1211.833	96.833	47.5	32.333	21.5	15.167	8.583	3.417	2.833	103.333	104	85	57.917	48.167	41
sub-24663	12	Sunday	Dec	2024	24663.bin	right wrist	24	24	24.5	3.124	18.167	41.626	23.667	4.588	13.667	38.822	3.348	24.009	136.8	202.004	1267.5	81.583	38.917	21.083	10.75	6.583	3.5	3	7.083	68.167	63	60	28.417	17.333	10.667
sub-24663	13	Monday	Dec	2024	24663.bin	right wrist	24	24	28	3.654	14.833	48.513	23.5	4.435	9.667	41.909	3.968	22.89	152.304	203.908	1264.75	70.333	43	30.083	15	8.833	3.583	1.833	2.583	81.5	76	50	37.75	26.833	23.167
sub-24663	14	Tuesday	Dec	2024	24663.bin	right wrist	24	24	24.333	3.228	14	76.789	24	12.612	14	68.564	3.413	37.856	197.804	228.8	1117.417	128.5	72.833	63.667	40.5	11.5	2.75	0.75	2.083	152.667	138	115	94.333	85.167	83.75
sub-24663	15	Wednesday	Jan	2025	24663.bin	right wrist	24	24	25.833	3.61	10	85.71	24.167	7.009	9.833	62.007	4.465	31.523	167.604	208.608	1172.75	121.75	69.167	40.75	19.917	5.333	3.25	1.417	5.667	106.833	96	105	56.833	41.25	10.5
sub-24663	16	Thursday	Jan	2025	24663.bin	right wrist	23.75	24	26.667	3.8	16.667	49.932	21.667	7.74	11	44.411	3.846	25.861	168.904	208.006	1232	84.75	43.417	42.75	26.083	6.25	3.25	0.75	0.75	100.25	88	65	64.75	18.917	10.417
sub-24663	17	Friday	Jan	2025	24663.bin	right wrist	24	24	24.167	3.218	14.5	89.081	21.667	6.845	10.333	57.204	3.708	31.345	166.3	194.908	1179.667	110.417	65.917	57.5	15.75	4.833	1.5	0.333	4.083	115.083	97	75	69.917	51	37.417
sub-24663	18	Saturday	Jan	2025	24663.bin	right wrist	24	24	26.667	3.178	9.667	54.036	23.667	5.459	9.833	40.13	4.192	22.674	161.2	203.9	1265.75	67.833	39.083	34.75	27	3.167	0.833	0.167	1.417	85	75	70	55.167	35.417	16.833
sub-24663	19	Sunday	Jan	2025	24663.bin	right wrist	24	24	27.833	3.294	10	73.981	23.167	4.524	9.667	64.999	4.272	31.152	182.604	233.404	1180.833	111.667	59.667	40.333	23.833	10.25	4.25	3.5	5.667	112.083	106	85	61.833	40.333	25.75
sub-24663	20	Monday	Jan	2025	24663.bin	right wrist	24	24	24	3.351	14.833	76.993	23	5.895	10	52.736	3.732	27.922	166.6	209.002	1223.583	91.667	50.833	36.833	25.25	5.333	1.75	0.75	4	97	82	55	62.25	53.75	18.417
sub-24663	21	Tuesday	Jan	2025	24663.bin	right wrist	23.5	23.5	26	2.105	18	46.688	21.5	9.576	12.5	32.161	2.693	22.582	144.3	197.2	1268.75	74.833	40.917	26.5	19.25	6.167	2.417	0.5	0.667	75.583	64	20	41.083	14.75	0
