participant_id	measurementday	weekday	month	year	filename	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-24702	1	Thursday	Feb	2025	24702.bin	left wrist	23.75	23.75	26.333	5.661	16.5	53.21	22.333	13.267	15	41.47	6.096	26.532	140.104	175.702	1217.75	112.417	60	31	11	3.5	2.333	0.75	1.25	78.333	57	55	32.833	27.833	32.833
sub-24702	2	Friday	Feb	2025	24702.bin	left wrist	24	24	25.167	3.935	15.833	76.569	23	5.754	9.833	63.981	4.014	34.411	177.908	231.004	1138.5	139	80.167	36.333	23.083	9.75	5.333	3.417	4.417	112.833	104	75	53.5	27.75	13.333
sub-24702	3	Saturday	Feb	2025	24702.bin	left wrist	24	24	27.667	3.818	16.167	42.21	24.167	9.038	11.333	41.821	12.846	27.419	140.704	178.9	1193.75	135.083	60.333	31.917	9.417	4.333	3.333	0.833	1	76.333	54	30	28.5	15.25	17.25
sub-24702	4	Sunday	Feb	2025	24702.bin	left wrist	24	24	28.5	4.076	19	81.324	26.167	7.38	14.5	61.479	10.072	34.64	173.504	210.502	1136.917	143.25	73.167	51.417	17.083	7.917	3.417	2.417	4.417	118.333	103	85	61.833	46.917	40.417
sub-24702	5	Monday	Feb	2025	24702.bin	left wrist	24	24	26.333	4.178	16	80.525	25.5	9.905	15.833	63.592	15.235	37.66	175.8	226.802	1106.75	142.333	98.25	50.25	19.833	10.667	4.333	2.75	4.833	132.417	116	115	69.75	32.833	30.083
sub-24702	6	Tuesday	Feb	2025	24702.bin	left wrist	24	24	27.5	4.781	16.667	78.02	22.667	7.862	11.5	61.028	5.558	36.58	162.7	212.023	1125.833	134.083	104.083	41.583	15	7	5.083	2.25	5.083	127.417	117	90	67.667	37.083	18
sub-24702	7	Wednesday	Feb	2025	24702.bin	left wrist	24	24	26.167	4.766	15.333	62.68	24.5	10.129	11.333	55.768	5.431	35.814	178.604	233.302	1145.333	121.917	81.417	45.833	21.167	9.75	6.417	3.833	4.333	125.5	127	125	69.583	30	12.5
sub-24702	8	Thursday	Feb	2025	24702.bin	left wrist	24	24	26.833	7.68	19.833	72.323	24.667	9.892	14.333	48.162	9.136	33.44	163.4	200.606	1158.333	125.333	82.417	43.583	15.25	7.667	3.417	1.333	2.667	110.417	103	105	56.167	36.667	19.917
sub-24702	9	Friday	Feb	2025	24702.bin	left wrist	24	24	27.833	4.87	17.667	83.903	25	10.593	11.5	61.468	14.986	36.349	167.613	212.902	1107.25	156.75	97.417	42.667	18.083	8.167	4.583	2.5	2.583	120.167	109	60	42.833	12.75	0
sub-24702	10	Saturday	Feb	2025	24702.bin	left wrist	24	24	26.5	6.369	9.833	49.301	23.667	12.308	9.833	31.36	14.399	21.417	118.4	162.9	1287.25	76.75	39.25	20.833	8.833	4.333	1.5	0.583	0.667	53.833	34	15	14.917	0	0
sub-24702	11	Sunday	Feb	2025	24702.bin	left wrist	24	24	27	3.697	16.333	109.363	26	5.23	16.333	82.786	19.705	45.551	210	274.502	1052.417	151.083	115.167	54.917	28.167	15.083	8.75	4.75	9.667	169.083	192	180	94.5	39.167	13.667
