participant_id	measurementday	weekday	month	year	calendar_date	filename	start_time	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-24796	1	Tuesday	May	2025	2025-05-06	24796.bin	2025-05-06T04:15:00Z	left wrist	23.75	23.75	26	5.344	14.833	64.995	24.833	10.023	14.667	48.341	7.238	28.253	135.608	174.602	1200.5	134.917	57.667	25.417	9.917	5.583	2.5	1	2.5	71.917	47	15	19.25	0	0
sub-24796	2	Wednesday	May	2025	2025-05-07	24796.bin	2025-05-07T04:00:00Z	left wrist	23	24	29.5	4.153	17.5	50.158	26.5	4.676	12.5	39.443	11.651	23.051	117	157.01	1249.417	109	48.083	15.917	7.333	4.417	3.167	1.333	1.333	51.667	26	15	11	10.667	14.167
sub-24796	3	Thursday	May	2025	2025-05-08	24796.bin	2025-05-08T04:00:00Z	left wrist	24	24	28.333	4.647	15.167	72.603	25	6.682	11.667	51.374	8.145	28.255	135.504	177.906	1169.75	154.75	68.083	26.5	9.167	5.417	2.667	1.667	2	73.75	42	15	16.417	0	0
sub-24796	4	Friday	May	2025	2025-05-09	24796.bin	2025-05-09T04:00:00Z	left wrist	24	24	27.833	3.727	17.333	27.884	25.333	6.141	12.833	26.026	8.476	16.883	81.604	121.208	1316.833	80.917	23.167	9.833	4.667	2.75	0.667	0.5	0.667	27.75	12	0	0	0	0
sub-24796	5	Saturday	May	2025	2025-05-10	24796.bin	2025-05-10T04:00:00Z	left wrist	20	24	27.333	5.605	15.167	67.143	22.333	9.013	13.167	48.5	7.412	28.74	133.6	171.302	1179.917	147.833	69.083	23.417	10	3.75	2.917	1.333	1.75	70.5	41	10	13.917	0	0
sub-24796	6	Sunday	May	2025	2025-05-11	24796.bin	2025-05-11T04:00:00Z	left wrist	23	24	30.667	6.995	19.667	42.056	25.833	11.196	15.833	34.187	17.859	23.234	100.804	139.904	1271	107.917	36.417	12.833	5.667	2.75	1.083	0.75	1.583	39.083	20	5	3.333	0	0
sub-24796	7	Monday	May	2025	2025-05-12	24796.bin	2025-05-12T04:00:00Z	left wrist	22.75	24	30.833	7.075	17.5	37.219	26.167	9.351	14.333	31.124	12.783	20.349	102.2	146	1283.583	94.417	34.417	14.75	6.917	2.583	1.25	0.75	1.333	40	22	0	1	0	0
sub-24796	8	Tuesday	May	2025	2025-05-13	24796.bin	2025-05-13T04:00:00Z	left wrist	23	24	26.167	4.28	15.667	53.058	25.333	5.927	11.167	42.907	7.813	24.936	118.404	155.5	1202.833	150	54.167	19.5	6.667	3.417	1.667	0.667	1.083	53.083	21	5	6.75	0	0
sub-24796	9	Wednesday	May	2025	2025-05-14	24796.bin	2025-05-14T04:00:00Z	left wrist	24	24	27.5	4.81	14	49.16	24.833	6.449	11.333	39.35	7.101	22.715	119.208	158.1	1252.5	102.25	51.167	16.25	8.833	5	2.167	1.25	0.583	54.417	35	15	17.75	4.917	0
sub-24796	10	Thursday	May	2025	2025-05-15	24796.bin	2025-05-15T04:00:00Z	left wrist	24	24	27.333	4.199	19.333	27.006	25.667	7.844	15.667	26.487	12.447	17.618	76.404	106.404	1320.583	84.667	22.667	6.583	2.667	1.333	0.583	0.083	0.833	19.75	9	0	2.583	0	0
